,Feature,T-Statistic,P-Value,Corrected P-Value
2,Cells_AreaShape_BoundingBoxArea,-5.976490335972608,1.297999132115986e-05,0.00018097380449237397
9,Cells_AreaShape_Compactness,-4.101472644076182,0.0005332464487974972,0.004085914347928875
10,Cells_AreaShape_Eccentricity,-6.357984813591496,1.9212793412939844e-06,3.925730948444851e-05
11,Cells_AreaShape_EquivalentDiameter,-3.0773136463276884,0.006183049278798634,0.03165292038604073
13,Cells_AreaShape_Extent,5.465771994152371,1.4820993967740558e-05,0.00020276838123981287
14,Cells_AreaShape_FormFactor,4.108522608125933,0.00045428883121548323,0.0035737388055618016
15,Cells_AreaShape_MajorAxisLength,-7.029972217432823,1.0245348063783026e-06,2.382169599066792e-05
16,Cells_AreaShape_MaxFeretDiameter,-6.568243349991114,2.4188823031900023e-06,4.6984051321221445e-05
18,Cells_AreaShape_MeanRadius,2.8809636926284123,0.010177477513948511,0.04746807694252665
23,Cells_AreaShape_Perimeter,-4.790369197336955,0.000157303947546797,0.0014644470067473013
24,Cells_AreaShape_Solidity,4.8392796710661665,7.453426862524801e-05,0.0007887931567515037
25,Cells_AreaShape_Zernike_0_0,5.821551652520482,6.799101401229363e-06,0.00010915564154354623
26,Cells_AreaShape_Zernike_1_1,3.5837443467978884,0.0016681182392927624,0.010596928787970172
27,Cells_AreaShape_Zernike_2_0,5.573945103773057,1.258090607962969e-05,0.00017725933342045412
29,Cells_AreaShape_Zernike_3_1,-6.3456527007290005,1.0855671417946194e-05,0.00016012115341470636
32,Cells_AreaShape_Zernike_4_2,-7.219193844099715,1.2417613024445281e-06,2.726099231413104e-05
34,Cells_AreaShape_Zernike_5_1,-3.505917954518511,0.0019009443451249376,0.011899810754628256
35,Cells_AreaShape_Zernike_5_3,-5.433454826623861,2.92213105097152e-05,0.0003545619167245649
39,Cells_AreaShape_Zernike_6_4,-7.436529103753019,4.79525100126066e-06,8.413972017081902e-05
40,Cells_AreaShape_Zernike_6_6,-3.7112799110080066,0.0015427879560810315,0.009920925276161402
42,Cells_AreaShape_Zernike_7_3,-3.864786157000454,0.0008000730149820924,0.0057130781100082845
43,Cells_AreaShape_Zernike_7_5,-9.479381015345048,4.6351145748869385e-08,1.9191000696023113e-06
48,Cells_AreaShape_Zernike_8_6,-8.26079395689645,1.4084869081579335e-07,4.998540004891313e-06
49,Cells_AreaShape_Zernike_8_8,-5.005215568956521,4.726094340067985e-05,0.0005248744772969622
53,Cells_AreaShape_Zernike_9_7,-5.472343928300024,2.352720655616441e-05,0.0002953415291092979
56,Cells_Correlation_Correlation_AGP_DNA,4.843818154997289,0.00010744323118818992,0.0010721607847954681
57,Cells_Correlation_Correlation_AGP_ER,8.483496393092956,2.1923974742717544e-08,1.0145211841728118e-06
58,Cells_Correlation_Correlation_AGP_Mito,4.817559508407622,0.0001080657873234412,0.0010760981353726635
59,Cells_Correlation_Correlation_AGP_RNA,6.437578199854545,1.440987058592518e-06,3.0637202326831916e-05
62,Cells_Correlation_Correlation_DNA_RNA,3.7683339566258645,0.0009987083798280903,0.006829337517812892
63,Cells_Correlation_Correlation_ER_Mito,3.0248532251701037,0.006792391924605788,0.03432557803441041
64,Cells_Correlation_Correlation_ER_RNA,4.319176875294713,0.00026055364283857687,0.002211894234169214
87,Cells_Correlation_Manders_AGP_ER,-3.436891963727937,0.0022640453497714385,0.013806581461138489
88,Cells_Correlation_Manders_AGP_Mito,-3.5901925147869282,0.002023080288977607,0.012564393373650402
89,Cells_Correlation_Manders_AGP_RNA,-3.690251173668501,0.0012116792074921467,0.008089286929791984
107,Cells_Correlation_Overlap_AGP_ER,3.086706162436252,0.006330463671741666,0.03230247408715747
120,Cells_Correlation_RWC_DNA_AGP,5.709494743968918,1.5594148757472273e-05,0.00020792198343296363
121,Cells_Correlation_RWC_DNA_ER,4.255910245381779,0.0007161406845919671,0.00521633338159581
122,Cells_Correlation_RWC_DNA_Mito,3.60177994872811,0.002035061469732732,0.012622194661154397
123,Cells_Correlation_RWC_DNA_RNA,3.3386785811465485,0.004484821277147015,0.024220087446377474
124,Cells_Correlation_RWC_ER_AGP,5.393870170626597,0.00024668945946374865,0.002124770526768054
128,Cells_Correlation_RWC_Mito_AGP,4.6731279532729015,0.000263652956806492,0.0022341866357749414
132,Cells_Correlation_RWC_RNA_AGP,5.079912989922244,0.00020624004867798382,0.0018367038297360068
136,Cells_Granularity_10_AGP,4.013155671268344,0.0008351410654253875,0.0059009967497123195
137,Cells_Granularity_10_DNA,-2.8817504516969223,0.010680388960016088,0.04903836176194157
138,Cells_Granularity_10_ER,4.785607851586706,0.00012395748496053102,0.0012138575290740797
139,Cells_Granularity_10_Mito,4.128653557655812,0.0005291482626422115,0.004062724078311868
140,Cells_Granularity_10_RNA,5.712188152937896,1.5805598052412255e-05,0.00021014766987996014
141,Cells_Granularity_11_AGP,4.188541903242477,0.0004309940666762258,0.0034342965868474663
143,Cells_Granularity_11_ER,3.8740802571658737,0.0009917922902532583,0.006804156409877004
144,Cells_Granularity_11_Mito,3.6050672596453928,0.0015347004366231035,0.00990537349194337
145,Cells_Granularity_11_RNA,5.442871384877223,3.132126717253095e-05,0.00037617399759375597
146,Cells_Granularity_12_AGP,4.918737973388708,5.718102661435528e-05,0.0006276615014412952
148,Cells_Granularity_12_ER,3.2938724848844623,0.003725990802950892,0.020886789299202152
149,Cells_Granularity_12_Mito,2.83038021052086,0.009483354108658701,0.04487320898149234
150,Cells_Granularity_12_RNA,4.704051805882877,0.00011041550440926848,0.0010948764302767798
151,Cells_Granularity_13_AGP,4.7345999950075175,9.035421604052711e-05,0.0009271128254593217
152,Cells_Granularity_13_DNA,3.0269829147446288,0.006521068791928403,0.03316750506239446
155,Cells_Granularity_13_RNA,3.940186461666489,0.0006559211010827253,0.004875508026945611
156,Cells_Granularity_14_AGP,2.875992778285528,0.008598141829732005,0.04149614461792951
157,Cells_Granularity_14_DNA,3.3786371321837465,0.0026002293950734886,0.015418445659229731
160,Cells_Granularity_14_RNA,3.350140800047629,0.0027839009769866224,0.01626239184576344
187,Cells_Granularity_4_DNA,2.859515764398318,0.00937415205005319,0.044423692446035196
192,Cells_Granularity_5_DNA,3.1764828311631508,0.004384407028303672,0.02373211143760703
193,Cells_Granularity_5_ER,2.8288106911279263,0.010813150342058651,0.049359835217134274
194,Cells_Granularity_5_Mito,4.045287694913865,0.0005852641744075577,0.004419915045125875
197,Cells_Granularity_6_DNA,3.0487402484646102,0.0056991497882248705,0.02962553634407642
198,Cells_Granularity_6_ER,3.978833832637549,0.0006595675861592198,0.004894904098540122
199,Cells_Granularity_6_Mito,5.418728758077596,2.807349601947517e-05,0.00034239509357085994
200,Cells_Granularity_6_RNA,3.823971004283112,0.0008892704507840147,0.006218305966963776
203,Cells_Granularity_7_ER,4.885476639654571,6.409308955600629e-05,0.0006906835221560495
204,Cells_Granularity_7_Mito,4.862279938519615,0.00014440821708860472,0.001355083070891082
205,Cells_Granularity_7_RNA,5.027196905387806,4.4371287205013284e-05,0.0004974643126072749
208,Cells_Granularity_8_ER,5.044742998073258,4.6384371504604845e-05,0.0005163543242965445
209,Cells_Granularity_8_Mito,4.460819470115673,0.00023845104254845793,0.0020765478244072354
210,Cells_Granularity_8_RNA,5.728815790812953,9.56225271455317e-06,0.00014373832105952535
211,Cells_Granularity_9_AGP,3.3422229789841618,0.005418505046199737,0.0284803383274641
213,Cells_Granularity_9_ER,5.173129779827188,3.8824152713885435e-05,0.000443704602444405
214,Cells_Granularity_9_Mito,4.3999577326354355,0.0002686327338904502,0.002265859017726655
215,Cells_Granularity_9_RNA,6.184662495657309,5.681840263330214e-06,9.646865483064248e-05
217,Cells_Intensity_IntegratedIntensityEdge_DNA,-3.792538330471028,0.0012155715880462327,0.008092380670773228
218,Cells_Intensity_IntegratedIntensityEdge_ER,-4.765748219041956,9.64202814657893e-05,0.0009745261852645087
220,Cells_Intensity_IntegratedIntensityEdge_RNA,-4.1188943274472605,0.001374830990444919,0.008975383506085777
268,Cells_Intensity_MinIntensityEdge_ER,-3.464311058285169,0.002120924358882741,0.01305198474497868
273,Cells_Intensity_MinIntensity_ER,-3.383566176604195,0.002574273219986899,0.015289626847197868
285,Cells_Intensity_StdIntensity_RNA,2.8979639180227075,0.008219678302389191,0.04020402237023521
293,Cells_Neighbors_FirstClosestDistance_5,2.9576112825848457,0.007111749525706707,0.03574809133262583
294,Cells_Neighbors_FirstClosestDistance_Adjacent,2.9576112825848457,0.007111749525706707,0.03574809133262583
297,Cells_Neighbors_NumberOfNeighbors_5,-7.262394782623005,3.0060986000774613e-07,9.151775693283927e-06
298,Cells_Neighbors_NumberOfNeighbors_Adjacent,-6.997776408609355,6.146581033452013e-07,1.5940583779062363e-05
299,Cells_Neighbors_PercentTouching_5,-3.857106707967755,0.000805929462620369,0.005737537049122386
300,Cells_Neighbors_PercentTouching_Adjacent,-3.190556833955804,0.004071786846208536,0.0221926488615523
301,Cells_Neighbors_SecondClosestDistance_5,3.051003867836522,0.005668645465677761,0.029532016112581713
302,Cells_Neighbors_SecondClosestDistance_Adjacent,3.051003867836522,0.005668645465677761,0.029532016112581713
305,Cells_Parent_CellsIncludingEdges,-3.230367374355233,0.004044011993184761,0.022066747523505285
306,Cells_RadialDistribution_FracAtD_AGP_1of4,8.359227161244695,7.2829171368956125e-06,0.00011535358686626606
307,Cells_RadialDistribution_FracAtD_AGP_2of4,7.837862527427238,1.0413578133995375e-05,0.00015456631695741563
308,Cells_RadialDistribution_FracAtD_AGP_3of4,5.841914933522518,9.813337949081618e-06,0.0001465789718976748
309,Cells_RadialDistribution_FracAtD_AGP_4of4,-7.6146290373064565,5.952104182157374e-06,9.962387141766951e-05
310,Cells_RadialDistribution_FracAtD_DNA_1of4,6.309273798524639,3.4942711700329284e-06,6.442562469748212e-05
311,Cells_RadialDistribution_FracAtD_DNA_2of4,5.402363938852553,2.8830434685371902e-05,0.00035072075184266853
313,Cells_RadialDistribution_FracAtD_DNA_4of4,-3.7909022910995933,0.0011546805923797413,0.007785846280046256
314,Cells_RadialDistribution_FracAtD_ER_1of4,16.79998747991763,1.205378170640389e-13,1.104868491271242e-10
315,Cells_RadialDistribution_FracAtD_ER_2of4,16.189384443284517,5.5941252412190994e-14,1.104868491271242e-10
316,Cells_RadialDistribution_FracAtD_ER_3of4,4.999555066430259,5.0477830776258495e-05,0.00055667140482229
317,Cells_RadialDistribution_FracAtD_ER_4of4,-13.085497380972342,3.465136167491591e-11,6.714871127054385e-09
318,Cells_RadialDistribution_FracAtD_Mito_1of4,12.476966159747779,1.039562056786962e-08,5.63992288279823e-07
319,Cells_RadialDistribution_FracAtD_Mito_2of4,13.118368548307078,2.247937925747399e-10,2.4114243203472095e-08
320,Cells_RadialDistribution_FracAtD_Mito_3of4,5.302073490521791,2.212519604903541e-05,0.0002796867687447525
321,Cells_RadialDistribution_FracAtD_Mito_4of4,-11.231491947728246,3.0052511633290126e-10,3.018039466151689e-08
322,Cells_RadialDistribution_FracAtD_RNA_1of4,16.262470905019995,1.6709943693166628e-12,7.887093423174648e-10
323,Cells_RadialDistribution_FracAtD_RNA_2of4,16.938072140435132,3.546915955968704e-14,1.104868491271242e-10
324,Cells_RadialDistribution_FracAtD_RNA_3of4,8.539381745816376,1.5610069734993617e-08,7.674950953038529e-07
325,Cells_RadialDistribution_FracAtD_RNA_4of4,-16.287191463527424,1.176274077804364e-13,1.104868491271242e-10
326,Cells_RadialDistribution_FracAtD_mito_tubeness_10of16,3.617590517835749,0.0014485002272898505,0.009443261150287423
327,Cells_RadialDistribution_FracAtD_mito_tubeness_10of20,13.40706643005146,1.0711691271019896e-10,1.4044217444226085e-08
328,Cells_RadialDistribution_FracAtD_mito_tubeness_11of16,-5.28263291448388,2.701129365699491e-05,0.0003311514443143272
329,Cells_RadialDistribution_FracAtD_mito_tubeness_11of20,12.853077761083417,1.6023660186710755e-11,4.201759782293042e-09
330,Cells_RadialDistribution_FracAtD_mito_tubeness_12of16,-8.963168149624373,1.9966527683980472e-08,9.424201066838784e-07
331,Cells_RadialDistribution_FracAtD_mito_tubeness_12of20,7.190997203787835,2.6105976710551387e-07,8.269812756631043e-06
332,Cells_RadialDistribution_FracAtD_mito_tubeness_13of16,-11.60588460474719,9.190398924750462e-11,1.2758436154359465e-08
334,Cells_RadialDistribution_FracAtD_mito_tubeness_14of16,-11.170366065412576,9.157620916499528e-11,1.2758436154359465e-08
